"ID_PK","ID","Trait_1","Trait_2","Trait_3","Opening_Sentence"
"5024","10629","Very responsible","Outgoing","Hard-working",
"5025","10634","patient","friendly","competent",
"5085","10687","Dedicated ","Hard working","Friendly",
"5193","10265","friendly","outgoing ","hard working ",
"5196","10884","dedicated","loyal","honest",
"5197","10885","dilligent","friendly","competent",
"5198","10887","Kind","Hard working","Care for others",
"5199","10890","punctual","hard working","a good listener",
"5200","10891","polite","hard working","confident",
"5203","10895","friendly","reliable","hard working",
"5204","10897","caring","hard working","out going",
"3726","8371","hard worker","volunteering","friendly",
"3731","8386","trustworthy.","a people person.","adaptable.",
"3759","8449","Friendly","A hard worker","Competent",
"3760","5999","dependable","a team player","hard working",
"4942","10491","Outgoing","Dependability","Punctuality",
"5005","10597","Ethical","Trustworthy","Logical",
"5007","10602","friendly","hard working","competetive",
"5008","10605","responsible","hard working","team working",
"5009","10604","trustworthy","hard working","friendly",
"5010","10614","Funny ","Outgoing","Nice ",
"5011","10613","Confience","hard working","friendly",
"5012","10616","Friendly","Creative","Hard working",
"5013","10612","Honest","Hard working","Caring",
"5014","10607","respectful","careing","determined",
"5015","10606","creative","energetic","cheerful",
"5016","10610","Friendly,","Nice ","On time",
"5017","10615","smart","quick","honest",
"5018","10603","Honest","Outgoing","Friendly",
"5019","10619","Hard Working","Reliable","Competitive",
"5020","10618","hardworking ","people friendly ","responsible ",
"5021","10620","responsible","hard-working","patient",
"5022","10617","Caring","hard working","Responsible",
"5023","10621","Friendly ","a hard worker ","organized ",
"5026","10638","Hard-working","Careing","Enthusiastic",
"5027","10640","outgoing","friendly","considerate ",
"5028","10650","hardworking,","dedicated,","kind.",
"5029","10647","hard-working","friendly","enthusiastic",
"5030","10663","trustworthy","hard working","competent",
"5031","10648","hardworking","friendly","dedicated",
"5032","10649","energetic","hard-working","reliable",
"5033","10662","friendly","hard working","independent",
"5034","10653","hard working","understanding","thoughtful",
"5035","10651","dedeicated ","hard working ","outgoing",
"5036","10654","hard working","friendly","bubbly",
"5037","10645","kind.","funny.","friendly.",
"5038","10661","trustworthy ","hard working ","countable on",
"5039","10657","very friendly","patient","determined",
"5082","10715","Hard-working","Reliant","Observant",
"5083","10709","Humerous ","Hard Working","Honest",
"5084","10716","Entertaining","Reliable","Hard Working",
"5086","10719","responsible","respectful","reliable",
"5087","10722","Nice","Funny","Overly caring",
"5088","10721","very kind","productive","respectful",
"5089","10706","Honest","Friendly","Hard Working",
"5090","10727","Friendly","Hard Working","Competent",
"5091","10701","Energetic","Hard Working","Organized",
"5092","10728","outgoing","hard working","reliable",
"5093","10737","good with people","hard working","friendly",
"5094","10743","Sociable","Hard Working","Outgoing",
"5095","10734","honest","hard working","respectable",
"5096","10741","friendly","hard worker","dedicated",
"5097","10745","Hard working","smart","friendly",
"5098","10749","friendly","kind","trusting",
"5099","10748","enthusiastic","a leader","kind",
"5100","10750","kind","Driven","Dependable",
"5101","10751","kind","friendly","smart",
"5111","10767","classy","fashionable","outgoing",
"5121","10784","Friendly","positive in bad situations","competent",
"5122","10785","helpful","hard working"," friendly",
"5123","10786","a hard worker "," friendly","competent",
"5478","11438","friendly","enthusiatic","hard-working",
"5690","11683","Leader","Humorous","Successful",
"5735","11149","a good person.","reliable.","smart.",
"5102","10753","friendly","funny ","hard working",
"5103","10758","friendly","responsible","Hard working",
"5104","10755","hard-working","friendly","consistant",
"5105","10756","Hard Working ","Responsable ","good listener ",
"5106","10757","honest","hard working","competitive",
"5107","10764","enthusiastic","kind","competent",
"5108","10761","Creative","Great speaker","Dependable",
"5109","10760","friendly","hard working","Great with others",
"5110","10762","Very hard-working","Enthusiastic","Leader",
"5112","10770","hard working","reliable","easy to get along with",
"5113","10773","organized","hard working","respectful",
"5114","10766","a good listener ","outgoing ","hard working ",
"5115","10769","hardworking","respectful","athletic ",
"5116","10768","organized","determined","outgoing",
"5117","10765","Kind","Hard-Working","Loyal",
"5118","10771","friendly","hard working","competent",
"5119","10772","persistent","hard working","courteous",
"5120","10774","reliable","hard working","outgoing",
"5124","10790","friendly","hard working","focused",
"5125","10791"," nice","dedicated","hard working",
"5126","10783","Entergetic","Communicative","Responsible",
"5127","10792","hard-working.","honest. ","friendly. ",
"5128","10801","helpful","smart","friendly",
"5129","10805","humble and friendly","hard working and persistence","loyal and honest",
"5130","10809","friendly","caring","hard working",
"5131","10802"," an over-acheiever.","fast paced.","detail oriented.",
"5132","10807","helpfull","hard working","friendly",
"5133","10793","friendly","hard working","organized ",
"5134","10796","Hard Working","Fast Learner","Trustworthy",
"5135","10803","Hard-working","Independent","Responsible",
"5136","10808","Friendly","Hard working","Kind",
"5137","10818","Organized","Friendly","Motivated",
"5138","10816","communicative","hard working","enjoyable to be around",
"5139","10821","hard working","caring","efficiant",
"5140","10804","friendly","hard working","positive person",
"5141","10795","Hard Working","Patinent","Kind",
"5142","10815","Respectful","Commeted","Courteous",
"5143","10812","Optimistic","Outgoing","Funny",
"5144","10828","Hard working","focused ","friendly",
"5145","10830","hard working ","reliable","friendly",
"5146","10835","Funny","UpLifting","Great Listener",
"5147","10827","intelligent","hard working","friendly",
"5148","10829","hardworking","optimistic","kind",
"5149","10837","kind","friendly","outgoing",
"5150","10838","dependable","hard working","friendly",
"5151","10833","hard working","patient","friendly",
"5152","10842","Dependable","Hard Working","Friendly",
"5153","10832","Polite","Dependable","Hardworking",
"5154","10834","Patient ","Hard working","Punctual",
"5155","10759","honest","loyal","friendly",
"5156","10845","friendly","honest","hardworking ",
"5157","10847","a good friend ","hard working ","quiet",
"5158","10846","A hard worker","friendly","enthusiastic",
"5159","10794","well manored","hard working ","humorous ",
"5160","10810","Friendly","Hard working","Considerate",
"5161","10819","self sufficient","helpful","intelligent  ",
"5162","10820","outgoing","talkative","hard-working",
"5163","10824","Friendy","happy","energenic",
"5164","10856","hardworker","Kind","Respectful ",
"5165","10855","friendly","hard working","positive person",
"5194","10011","creative","friendly","hard-working",
"5299","11021","friendly","hard working","competent",
"3859","8579","caring","outgoing","humorous",
"3865","8619","Friendly","Hard Working","Competent",
"3883","8654","A hard Worker","Responsible","Dependable",
"5166","10857","Kind","Friendly","Hard working",
"5167","10823","Helpful","Hard Working","Competetive ",
"5168","10854","independent","sociable","responsible",
"5169","10861","Outgoing","Hard working","Determined ",
"5170","10860","friendly","focused ","determined ",
"5171","10813","good with talking ","hard working ","friendly",
"5172","10806","out going","sociable","optimistic",
"5173","10864","Focused ","Friendly","Hard-Working",
"5174","10798","kind and caring","friendly","hard working",
"5175","10822","honest","hardworking","outgoing",
"5176","10858","kind","hard woking","friendly",
"5177","10862","friendly","helpful","responsible",
"5178","10863","Respectful","Honest","Hard-Working",
"5179","10853","Friendly","Houmorus","Hard Working",
"5180","10844","Funny","Organized","Competative",
"5181","10831","reliable ","out going ","hard working ",
"5182","10872","funny","nice","caring",
"5183","10873","Friendly","Smart","Persistant ",
"5184","10869","responsible","organized","a good leader",
"5185","10871","hard-working","kind","responsible",
"5186","10870","responsible","on time","hard working",
"5187","10836","kind hearted","out going","a fast learner",
"5188","10875","Adventurous","dependable","enthusiastic",
"5189","10868","friendly","hard working","dependable",
"5190","10841","Hard working","Helpful","Competitive",
"5191","10881","nice","hard working","competent",
"5192","10878","a hard worker","a fast learner","a friendly person",
"5195","10883","Dilegent","Friendly","Organized",
"5201","10876","friendly","hard working","reliable",
"5202","10047","I believe I would be an asset to your company","friendly","hard working",
"5207","10897","caring","hard working","out going",
"5208","10897","caring","hard working","out going",
"5211","10897","caring","hard working","out going",
"5212","10897","caring","hard working","out going",
"5214","10897","caring","hard working","out going",
"5215","10897","caring","hard working","out going",
"5216","10913","Honest","Trustworthy","Hard working",
"5217","10906","hard working","good friend","safe",
"5218","10899","friendly","hard working","good listener",
"5219","10909","real","out going","hard worker",
"5220","10910","Hard working","Friendly","Real",
"5221","10902","Hard working","Friendly","Confident",
"5222","10900","hard worker","finish what im doing","friendly",
"5223","10903","trustworthy","strait up","kind",
"5224","10916","honest","competitive","persistant",
"5225","10907","hard working","respectful","trustworthy",
"5226","10914","intent","trustworthy","caring",
"5227","10912","REAL","friendly","nice",
"5228","10915","friendly","hard working","competent",
"5229","10901","have a nice day","hard woker","gooff ball",
"5230","10904","friendly","fun to be arond","hard working",
"5231","10898","friendly ","trust worthy ","hard working",
"5232","10908","awesome","cool","fast",
"5233","10917","hardworkin","resposable","Outgoing",
"5234","10922","Honest","Dependable","Hard worker",
"5235","10924","Great customer service-kind","Hard working","loyal",
"5236","10931","Honest ","Reliable / responsible "," Hard worker & determined ",
"5237","10926","Responsible","Honest","Tactful",
"5238","10929","Honest","Dependable","Caring",
"5239","10932","hard-working","Caring","Dependable",
"3903","8705","friendly,","dependable,","innovative",
"3936","8772","responsible","hard working","mature",
"4943","10501","nice","hard working","compassionate",
"5240","10933","Dependable","Trustworthy ","Hard working",
"5241","10930","Honest","Compatible","Dependable ",
"5242","10928","Hardworking","Friendly","Honest",
"5243","10927","dependable","hard working","trustworthy",
"5244","10936","Honest","dependable","competent",
"5245","10943","Friendly ","Self motivated","Caring",
"5246","10945","Very nice","Hard working","Quite at times",
"5247","10954","Focus","Hummble","A leader",
"5248","10951","Hard-working,","Friendly, and","Enthusiastic ",
"5249","10947","compassionate","enthusiastic","self-motivated",
"5250","10949","Honest","Self-Motivated","Selfless",
"5251","10940","friendly"," hard working","enthusiastic",
"5252","10942","Nice","Friendly","Hard working",
"5253","10953","Responsible","Hard working ","Overacheiver",
"5254","10939","Enthusiastic","Hard-working","Outgoing",
"5255","10952","caring to others.","Honest.","Friendly.",
"5256","10941","honest","loyal","dependable",
"5257","10941","honest","loyal","dependable",
"5258","10955","Sociable","Outgoing","Honest",
"5259","10948","caring","honest","reliable",
"5260","10950","Honest","Compassionate","Hardworking ",
"5261","10946","Respectful","Honest","Dependable ",
"5262","10944","Honest","Friendly","A hard worker",
"5263","10958","Responsible","Trust worthy","Successful",
"5264","10957","Responsible","Dependent","Honest",
"5265","10957","Responsible","Dependent","Honest",
"5266","10957","Responsible","Dependent","Honest",
"5267","10354","Friendly","Hard working","Competent",
"5268","10960","Nice","Hard working","Confident",
"5269","10963","loyal","caring","dependable",
"5270","10964","respectful","hard working","intelligent",
"5271","10964","respectful","hard working","intelligent",
"5272","10964","respectful","hard working","intelligent",
"5273","10968","friendly","hard working","competent",
"5274","10980","Nice","Athletic","Hard Worker",
"5275","10972","Nice","Funny","Smart",
"5276","10971","Outgoing","Hard working","Nice",
"5277","10986","Honest ","Dedicated ","Hard working ",
"5278","10986","Honest ","Dedicated ","Hard working Student",
"5279","10984","Nice","Hard working","Smart",
"5280","10976","honest","friendly","independent",
"5281","10993","Truthworthy","Hard working","Polite",
"5282","11004","friendly","dependable","polite",
"5283","10994","enthusiastic","dedicated","friendly",
"5284","11003","hard-working.","out-going.","kind and friendly.",
"5285","10998","Dynamic","Motivated","Patient",
"5286","10999","trustworthy","dedicated","helpful",
"5287","11002","friendly","hard working","determined ",
"5288","11000","Sarcastic","Funny","Hard Working",
"5289","11001","good person ","hard woker","funny",
"5290","10974","a leader","dedicated","a hard worker",
"5291","10974","a leader","dedicated","a hard worker",
"5292","10997","ambitious","dependability","Friendliness",
"5293","11006","Trustworhty","Hard Worker","Dependability",
"5294","11007","Friendly","Outgoing","Helpfull",
"5295","11013","Friendly ","Hard Working ","Honest",
"5296","11014","hard-working","competent","friendly",
"5297","10925","Kind ","hard Working","honest",
"5298","11017","hard working in any condition","always positive thinking","reliable ",
"5300","11023","hard working","cunning","very strong",
"5301","11027","Project Oriented","awarded for excellent job performance","able to work well with diverse individuals",
"4048","8907","friendly","prepared/ organized","trustworthy",
"4060","8411","Sacrificial","Reliable","Witty",
"5302","11029","kind","honest","hard-working",
"5303","11030","strong","hard working","trustworthy",
"5304","11032","a hard worker","Friendly","A team player",
"5305","11036","Honest","Responsible","Hard Worker",
"5306","11035","friendly","hard working","competent",
"5307","11026","brave","strong","loyal",
"5308","11033","friendly ","dependability ","punctuality",
"5309","11044","deadly","clutch","heroic",
"5310","11039","Responsible","On time","Laid back",
"5311","11040","cut-throat","honorable","a great protector",
"5312","11046","friendly","the best hero in training","hard working",
"5313","11038","Loyalty","Hard Working","Honor",
"5314","11048","polite","hard working","very dependable",
"5315","11043","respectuful","hard working","responsible",
"5316","11045","hard-working","competitive","strong",
"5317","11047","caring","hard-working","determined",
"5318","11055","loyal","hard working","friendly",
"5319","11052","sly","hard working","fast",
"5320","11034","Funny","Nice","Hard working",
"5321","11053","strong","clever","brave",
"5322","11058","Friendly","Hard Working","Loyal",
"5323","11057","a Christian","funny","the man",
"5324","11059","hard-working","energetic","trustworthy",
"5325","11049","Friendly","Flexible","Adaptive",
"5326","11056","hard-working","kind","competent",
"5327","11062","honest","hard working","dependable",
"5328","11019","responsible","trustworthy","friendly",
"5329","11060","a warrior","a fighter","a killer",
"5330","11037","hard-working","kind","happy",
"5331","11024","friendly ","hard working","nice ",
"5332","11069","friendly","dependable","hard working",
"5333","11061","Leader","Hard Working","a Heavy Drinker",
"5334","11063","knowledgeable","hard working","caring",
"5335","11064","Strong","Brave","Heroic",
"5336","11066","Friendly","hard working","kind",
"5337","11065","Outgoing","Active in community","a Good Student ",
"5338","11071","Friendly","outgoing","hard working",
"5339","11073","Dependable","Trustworthy","Dedicated",
"5340","11072","friendly.","fun to be around.","hard-working.",
"5341","11068","friendly","hard working","competent",
"5342","11070","brave","wise ","strong",
"5343","11075","trustworthy","dependable","Enthusiastic",
"5344","11076","hard-working","puntual","trustworthy",
"5345","11077","kind","hard working","enthusiastic",
"5346","11078","thoughtful","hard-working","skilled",
"5347","11081","Polite","Hard working","leader",
"5348","11082","Leader","Hard Worker","Great friend",
"5349","11031","outgoing","trustworthy","hard working",
"5350","11084","outgoing","energetic","reasonable",
"5351","11085","honest","hard working","competent",
"5352","11086","lazy","obnoxious","mean",
"5353","11087","Friendly","polite","hard working",
"5354","11105","Strong","Reliable","Smart",
"5355","11104","kind","courageous","a go getter",
"5356","11110","Very Fast ","Hard at Flying","Friendly and able to save the world",
"5357","11102","enthusiastic","life of the party","hardworking",
"5358","11100","Manly","Strong","Honest",
"5359","11050","loyal","strong","hardworking",
"5360","11025","Hard Working","Dependable","Awesome",
"5361","11107","one bad son of a B","like a ford and a chevrolet put together","bad to the bone",
"5692","11713","honest","friendly","helpful",
"1417","3731","Polite","hard working","organzied",
"1418","3709","hard working","caring","responsibe",
"4092","8979","enthusiastic","hard working","reliable",
"4132","9097","funny","artistic","friendly",
"4133","9098","kind","a good listener","outgoing",
"5362","11113","Very energetic","Hard working","Devoted to growing beautiful plants",
"5363","11101","honest","manly","the best",
"5364","11115","responsible","a leader","reliable",
"5365","11103","Funny","honest/trustworthy","Friendly",
"5366","11122","helpful","hard working","friendly",
"5367","11123","Nice ","Friendly","Trustworthy",
"5368","11125","Professional yet friendly","Reliable & punctual","Diligent & thorough",
"5369","11126","courteous","hard working","a quick leaner",
"5370","11128","friendly ","hard working ","determined ",
"5371","11135","hardworking","an asset to your company","kind",
"5372","11139","frendly.","able to get along with anyone.","hard working.",
"5373","11212","hard-working","friendly","enthusiastic",
"5374","11213","clever","quick-thinking","skillful",
"5375","11215","Calm","Friendly","Dependable",
"5376","11217","Friendly.","Hard working.","Competent.",
"5377","11224","Friendly","Hard working","Competent",
"5378","11226","Nice ","Honest ","Trustworthy",
"5379","11227","Hard working","Honest","Friendly",
"5380","11230","Nice/Friendly","Trustworthy","Honest",
"5381","11228","friendly","hard working","enthusiastic",
"5382","11238","friendly","willing","honest",
"5383","11239","Friendly","Hard working","Competitive",
"5384","11233","Relatable","Respectfull","Very hard working ",
"5385","11167","intelligent.","creative.","independent.",
"5386","11167","intelligent.","creative.","independent.",
"5387","11246","Leader","Frendly","Hard Working",
"5388","11247","Hard Worker","Friendly","Competent",
"5389","11244","intellectual","respectful","hard working",
"5390","11245","easy to get along with","hard working","slow to anger",
"5391","11249","funny","good with computers","mature",
"5392","11250","Friendly ","Fast learner","Hard working",
"5393","11241","honest","hardworking","courteous",
"5394","11242","a fast learner","hard working","able to work with others",
"5395","11254","Funny","Hard Working","Responsible",
"5396","11274","bubbly","friendly","hard-working",
"1494","3981","kind ","friendly","hardworking and out going",
"4185","9184","kind","responsible","honest",
"4263","9333","self starter","hard working","dependable",
"4264","9337","Friendly","Hard-working","Honest",
"5040","10656","Intelligent","Hard Working","Dedicated",
"5041","10659","Friendly","Responsible","Hard-working",
"5042","10641","funny","smart ass ","respectfull",
"5479","11423","fun ","energetic","friendly",
"5480","11429","outgoing","a hard worker","good with others",
"5481","11439","good friend ","a hard worker","A team player",
"5482","11431","friendly"," hear worker","competent",
"5483","11441","friendly","hard working","competent",
"5484","11442","hard working ","organized","polite",
"5485","11445","studious","outgoing","respectful",
"5486","11379","kind","hard-working","competent",
"5487","11380","friendly ","kind","Hard-Working",
"5488","11382","a good friend","smart","enerjetic",
"5489","11388","understanding","respectful","hard working",
"5500","11144","friendly","hard working","dependable ",
"5510","11472","hard Working","friendly","enthusiastic",
"5511","11473","kind","trustworthy","logical",
"5512","11476","kind","hard working","organized",
"5513","11475","Outgoing","enthusiastic","hard working",
"5514","11461","unique","comical","out going",
"5515","11479","Outgoing","hard working","respectful",
"5516","11481","Hard-working","Outgoing","Honest",
"5517","11482","versatile ","positive","reliable ",
"5518","11480","Creative problem-solver","Imaginative","Dependable",
"5519","11484","Friendly","Hard Working","Dedicated",
"5520","11485","Friendly","Hard Working","Efficient",
"5521","11493","hard working","intuitive","easy to talk to",
"5522","11490","hard working","friendly","caring",
"5523","11489","friendly","kind","hard-working",
"5524","11516","friendly","hard working","reliable",
"5525","11514","hard-working","friendly","cooperative",
"5526","11511","friendly","hard working","organized",
"5527","11503","trustworthy","friendly","hardworking",
"5528","11512","Hard-Working","Creative","Interpersonal",
"5529","11526","loyal","hard working","leader ",
"5530","11531","Friendly","Loving","Competitive",
"5531","11530","kind","respectful","courageous",
"5532","11523","hard working","competitive","a perfectionist",
"5533","11525","Friendly","Hard working ","competent",
"5534","11527","Happy","Responsible","Friendly",
"5535","11534","Friendly","Hard Working","Nice",
"5536","11536","hardworking","a people person","awesome",
"5537","11524","Friendly","Enthusiastics","""motherly""",
"5538","11529","friendly","hard working","smart",
"5539","11539","compassionate","hard working","smart",
"5540","11545","friendly","kind","obediant",
"5541","11549","humble","honest","accomplished",
"5542","11551","Funny.","Smart.","Friendly.",
"5543","11544","responsible","friendly","hard working",
"5544","11547","Friendly","Respectful","Hard working",
"5545","11542","Hard-working","Friendly","Team Player",
"5546","11553","Positive","Talented","Hard working",
"5547","11566","friendly","hard working","competent",
"5548","11575","enthusiastic","friendly","hard-working",
"5549","11574","positive","hard working ","a perfectionist",
"5550","11561","responsible","driven","a quick learner",
"5551","11554","Hard Working","Friendly","Courageous",
"5622","11622","a leader","hard working","reliable",
"5623","11623","hard-working","nice","determined",
"5631","11605","friendly","cooperative","hard working",
"4200","9229","communicative","a striver","quiet",
"4201","9217","flexible","independent","loud",
"4205","9222","caring","hard working","trustworthy",
"4207","9236","outgoing","friendly","reliable",
"4208","9220","friendly","outgoing","honest",
"4212","9223","friendly","reliable","caring",
"4214","9232","honest","hard working","friendly",
"4217","9244","determined","friendly","enthusiastic",
"4220","9211","friendly.","dependable.","hard working.",
"4226","9258","Nice","Hard Working","On time",
"4229","9264","friendly","hard working","organized",
"4230","9273","Friendly","Hard Working","Patient",
"4232","9267","shy","good worker","confident",
"4235","9254","Hard-working","Fast Learner","Friendly",
"4240","9284","Friendly","Determind","Creative",
"4244","9286","Friendly","Active","Competant",
"4245","9296","hard-working","outgoing","funny",
"4246","9280","friendly","hard-working","fast learner",
"4247","9299","motivated","friendly","hard working",
"4248","9311","friendly","a hard worker","easy going",
"4249","9307","active","crafty","generous",
"4250","9316","Outgoing","Friendly","Creative",
"4251","9314","Friendly","Ambitous","Hardworking",
"4252","9313","friendly","understandable","kind",
"4253","9324","Funny","Personable","Responsible ",
"4254","9310","Direct","Kind","hard working",
"4255","9312","outgoing","good at advice","reliable",
"4256","9326","friendly","creative","helpful",
"4257","9319","friendly","hard working person","competent",
"4258","9317","a leader","hard-working","a good cook",
"4259","9308","Creative","Active","Hard Working",
"4260","9327","Quiet","Fun","Timid",
"4261","9306","kind","hard working","respectful",
"4262","9325","Friendly","Get things done","Hard Worker",
"4265","9345","kind","friendly","hard working",
"4266","9353","hardworking ","honest ","truthworthy",
"5552","11559","Friendly","Committed","Hard-working",
"5553","11579","hard-working","social","friendly",
"5554","11573","Friendly","Hard Working","Enthusiastic",
"5555","11565","friendly","responsible ","energetic",
"5561","11557","unique","tedious","hard working",
"5620","11548","a hard worker","profectionist","quiet",
"5621","11193","a good listener","friendly","competitive",
"5624","11504","hardworking","dedicated","competitive",
"5625","11601","hard-working","friendly","dependable ",
"5626","11615","Friendly","Responsible","Loyal",
"5627","11583","hard working.","passionate at what I do.","patient with others.",
"5628","11571","outgoing","hard working","a perfectionist",
"5639","11632","friendly","hardworking","competent",
"5691","11693","Honest","Bright","Friendly",
"5693","11723","caring","a hard worker","loyal",
"5694","11728","kind","enthusiastic ","zealous",
"5695","11735","Hard working","shy","Freindly",
"5696","11741","nice","hard working","friendly ",
"5697","11740","Nice","plesint","hard working",
"5698","11742","friendly","hard working","lessuner",
"5699","11739","responsible","good in  math","caring",
"5700","11738","outgoing ","team player","capable",
"5701","11737","Friendly","people person","hard working",
"5702","11733","Responsible","Respectable","Dependable",
"5703","11736","a cool guy","fun to be around","and i always get the job done",
"5704","11734","confident","steady worker","good listener",
"5734","11143","nice","friendly","hard working",
"4267","9357","fast learner","productive","friendly",
"4268","9364","Friendly","On Time","Dependable",
"4269","9359","Outgoing","Friendly","Helpful",
"4270","9358","friendly","enthusiastic","hard-working",
"4271","9360","Friendly","Hard worker","Smart",
"4272","9363","hyper","hard worker","quick thinker",
"4273","9366","good worker","nice ","competent",
"4274","9351","friendly","hard worker","competent",
"4275","9350","very sociable","a fast learner","hard working",
"4276","9354","Friendly","Helpful","Hardworking ",
"4277","9356","Hard-Working","On Time","Trustworthy",
"4278","9362","Quiet","a hard worker","competitve",
"4279","9361","friendly","hardworking","competent",
"4280","9365","Responsable","Good ","work hard",
"4281","9371","funny","polite","hard working",
"4282","9370","Funny ","Friendly ","Charismatic",
"4283","9374","funny","athletic","polite",
"4284","9372","hard working","loyal","helpfull",
"4285","9373","caring","hard-working","assertive",
"4286","9375","energetic","athletic","hard-working",
"4287","9378","Punctual","Attentive","Responsible",
"4288","9367","hard working","friendly","good with people",
"4289","9352","funny","a good talker","loud",
"4290","9381","funny","smart","respectful",
"4291","9380","very polite.","very dedicated.","very competent.",
"4292","9369","friendly","hard working","handy",
"4293","9385","Hard-working","Friendly","Kind",
"4295","9402","Friendly","Honest","Competent",
"4296","9391","happy","hardworking","strong",
"4297","9399","Kind","Funny","Competent",
"4298","9399","Kind","Funny","Competent",
"4299","9401","histarical","kind","interesting",
"4300","9396","Funny","Good Worker","good with customers",
"4301","9387","responsible","awesome","da best",
"4302","9411","smart","idustrious","athletic",
"4303","9419","responsible .","trustworthy.","hard-working.",
"4304","9421","Friendly","hard working","upbeat ",
"4305","9422","respectful of the workplace.","good at giving and taking orders.","one that perseveres.",
"4306","9417","hard working","responsible","dependable",
"4307","9410","friendly","hard working","competent",
"4308","9415","hard working","responsible","dependable",
"4309","9415","hard working","responsible","dependable",
"4310","9415","hard working","responsible","dependable",
"4311","9425","Friendly","Helpful","Hard working",
"4312","9416","responsible","reliable","hard working",
"4313","9413","dependable","responsible","hard-working",
"4314","9412","responsible","hard working","a quick learner",
"4315","9420","reliable","hard working","a fast learner",
"4316","9427","funny","creative","child like ",
"4317","9433","Determained","Fast Worker","Intelegent",
"4318","9429","honest","hard working","dependable",
"4319","9430","hard working","a stud","team player",
"4320","9431","Friendly","Enthusiastic","Dedicated",
"4321","9441","Outgoing","Self Driven","Persistent",
"4322","9438","prompt","ready to learn","attentive",
"4323","9436","Hard worker","Nice","Easy to get along with",
"4324","9442","Hard Worker","Great to get along with","A nice Friend",
"4325","9390","freindly,","hard working,","enthusiastic.",
"4326","9397","diligent","dependable","persevering",
"4327","9437","Good with my hands","Hardworker","Leader",
"4328","9407","enthusiastic","fun to be around","hard working",
"4329","9389","outgoing.","determined.","a good listener.",
"4330","9398","friendly","outgoing","enthusiastic",
